0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,date
中共中央国务院隆重举行国家科学技术奖励大会,把学习贯彻党的创新理论作为思想武装重中之重,走近国家最高科学技术奖得主,大沙漠与聚宝盆（金台随感·“生态笔谈”③）,在国家科学技术奖励大会上的讲话,又闻栗子香,华彩的海滩（新时代之光）,沃土白杨,2019年中国考古新发现,传承千载情携手谱新篇（国际时评）,国务院关于2019年度国家科学技术奖励的决定,踏实干，才能有好日子（新春走基层·脱贫攻坚一线见闻）,新时代开展党内集中教育的新探索,穿过人海回家团聚,习近平将对缅甸进行国事访问,城市空间，如何用好“金角银边”（体育大看台）,穿越飞石,全国政协召开网络议政远程协商会,习近平《在“不忘初心、牢记使命”主题教育总结大会上的讲话》单行本出版,在探索扶贫与发展的道路上笃定前行,对民警人身进行攻击属暴力袭警，从重处罚,2019十大经济年度人物揭晓,十九届中央第四轮巡视全部反馈完毕,“赋予‘胞波’情谊更深的时代内涵”,图片报道,坚持以人民为中心打造人大信访工作新平台,“最美铁路人”先进事迹向社会公开发布,雪趣,“最美退役军人”首场先进事迹报告会举行,2019年国家科技奖获奖项目五大特点,01_11
强大的政党是在自我革命中锻造出来的,致富奔小康心气格外足（总书记来过我们家）,“中国天眼”正式开放运行,新时代夺取新胜利的根本遵循,聚焦“精准”下功夫（今日谈）,中共中央台办、国务院台办发言人就台湾地区选举结果发表谈话,画当“得意”（名师谈艺）,2020年台湾地区领导人选举结果揭晓,一个德国人眼中的中国复兴之路（书写新中国故事）,团圆之路有人守护,为美术事业健康发展提供深厚支撑,吴哥行，拥抱变永恒（旅人心语）,在现场,重拾“蔚蓝之舟”的文化身份,这一年，我与村庄共成长(青春派·青春奋进新时代⑧),-26℃，我随官兵守“东极”(记者探营),传统文化迎新春,让长征精神深入人心,外交部发言人就台湾选举答记者问,共同为中国发展、人类进步贡献力量,全面小康之年，让回家的路更温馨、更安全,胡怀邦严重违纪违法被开除党籍,春运首日发送旅客近七千万人次,打造和睦相处、合作共赢的典范,检察更有深度监督更显力度（第一落点·关注巡回检察②）,北京服务业扩大开放不停步（进一步做好“六稳”工作）,“我们对中国市场越来越有信心”,李克强向西班牙首相桑切斯致贺电,十二生肖文创展亮相首尔,我国建成200余个智能化采煤工作面,01_12
发扬斗争精神勇于担当作为,永葆初心本色，书写全面从严治党新篇章,现在的生活美好又踏实（总书记来过我们家）,全面从严治党，凝聚磅礴伟力（评论员观察）,让制度红利不断“显化”（人民论坛）,为实现民族复兴提供坚强制度保障（权威访谈）,大地的回响,河流与乡愁（金台随感·生态笔谈④）,住新房过大年,靠创新力量支撑共享经济更好发展（人民时评）,带着问题学（大家手笔）,栖息云龙湖,推动聚合支付平台规范发展（人民时评）,来论,助力设施农业健康发展（一线视角·聚焦全面建成小康社会②）,白发仍少年热血著文章（守初心担使命找差距抓落实·深入开展“不忘初心、牢记使命”主题教育·身边的初心使命）,巩固发展反腐败压倒性胜利,瞩目“最具吸引力的地方”（和音）,马克思主义哲学文本研究回顾与展望（构建中国特色哲学社会科学）,一物一码疫苗亮出身份证（政策解读）,预付费风险，如何防范？（来信调查）,餐饮船上岸记（第一落点·破解基层治理难题）,结合实践研读哲学文本（学苑论衡）,把好政策送到群众心坎上（今日谈）,茶苗管护正当时,建议,新中国峥嵘岁月,幸福路把幸福串成串（新春走基层·脱贫攻坚一线见闻）,我的旅游我做主（经济聚焦·新职业看新需求②）,干部有劲头老乡有盼头（暖相册）,01_13
一以贯之全面从严治党强化对权力运行的制约和监督,推动不忘初心牢记使命制度落实落地,走好新时代的长征路（人民论坛）,我国国家制度和国家治理体系的深厚历史底蕴（深入学习贯彻党的十九届四中全会精神）,法律之盾让执法者更有底气（人民时评）,中央军委举行慰问驻京部队老干部迎新春文艺演出,厚植“中国之治”的文化根基（大家手笔）,打造充满活力的城市之治（新论）,良好家教家风助力基层社会治理（新知新觉）,治理黄河，重在保护，要在治理（声音）,出窑洞搬上楼（记录中国·暖暖的新家）,好诗词蕴藉高尚情操（名师谈艺）,划安全红线定质量底线（权威发布）,房子重建帮扶不变（政策解读·摘帽之后）,担起绿色发展的企业责任,从历史中汲取智慧和力量（新书评介）,坚持以人民为中心的创作导向（高峰之路）,充分发挥榜样力量激励干部群众立足岗位奋斗奉献、建功立业,把“问题清单”变成“满意清单”（守初心担使命找差距抓落实·深入开展“不忘初心、牢记使命”主题教育·整改落实）,打好组合拳严惩恶意欠薪（纵横）,政务微信公号过滥，关！（干部状态新观察·基层减负进行时）,互联网释放文学生产力（关于网络文学的对话①）,工业经济稳发展质量高（经济发展亮点多韧性足）,赶大集真热闹,站台上，我给妈妈画“手表”（暖相册·春运故事）,关键时刻让党信得过（红船观澜）,中华人民共和国外商投资法实施条例,风餐露宿探寻地球宝藏（讲述·一辈子一件事）,开展“最美基层高校毕业生”学习宣传活动,普惠型小微贷款余额去年末增25%,01_14
新时代党治国理政的一个鲜明特征,习近平同党外人士共迎新春,为基层松绑减负促干部担当作为,以赶考心态向党和人民交出满意答卷,别把“结果”当“效果”（纵横）,把“严”的主基调长期坚持下去,坚持科学导向奋力追赶超越（深入学习贯彻习近平新时代中国特色社会主义思想）,深刻认识和把握改革规律进一步改进工作方式方法,讨论《政府工作报告（征求意见稿）》,玉兰花香,豆花儿三开（泥土芬芳）,开放合作，引领世界经济持续发展（评论员观察）,裸鲤与青海湖（金台随感·“生态笔谈”⑤）,公正司法让见义勇为更有底气（人民时评）,书写共享发展新篇章,为基层松绑减负促干部担当作为,民企首次成外贸第一大主体（权威发布）,把握稳与进的医改辩证法（一线视角·聚焦全面建成小康社会③）,加强新时代爱国主义教育（治理之道）,保障人民参与国家和社会治理（大家手笔）,为乡村振兴提供新动能（新知新觉）,群众烦心事件件有回音,“我对中国充满感激”,军队“不忘初心、牢记使命”主题教育总结大会召开,好日子加了“双保险”（新春走基层·脱贫攻坚一线见闻）,废旧家电如何规范回收（倾听·关注垃圾分类和资源化利用）,麻丝捻船滴水不漏（工匠绝活）,老小区“改”出新品质（产经观察）,图片报道,乡村“慢生活”,01_15
中国共产党第十九届中央纪律检查委员会第四次全体会议公报,坚持以伟大自我革命引领伟大社会革命,中美签署第一阶段经贸协议,新风正气从哪里来（人民论坛）,朝着解决问题的方向前进了一步（钟声）,坚持平等和相互尊重原则解决双方关切实现互利共赢,坚持历史唯物主义不断开辟,擦亮“平安中国”的国家名片,“一份互利共赢的协议”,平等·互利·共赢,敦煌守护人,创新发展，为全球经济增长添动能（评论员观察）,一以贯之、坚定不移全面从严治党,李克强主持召开专家学者和企业界人士座谈会,全国政协邀请已故知名人士的夫人茶话迎春,构建基层社会治理新格局（治理之道）,探索“高精尖缺”人才培养新机制（人民时评）,科学打好净土保卫战（大家手笔）,以科技创新筑牢强国之基（人民时评）,坚决打好打胜污染防治攻坚战（深入学习贯彻习近平新时代中国特色社会主义思想）,守护好春节返乡路,探索数字创意产业高质量发展路径（有的放矢）,刘鹤分别会见国际组织负责人和美国工商界代表,“一所学校就是一个希望”,根在敦煌相守不离,打造更多“硬科技”企业（新论）,江水悠悠古韵传承（寻找最美乡村·家在长江边②）,央企运行质量稳步提升（权威发布）,行走悬崖清理垃圾,“人民一号”成功发射,01_16
中共中央政治局召开会议,用转型升级激发长远动力（人民论坛）,坚持以科学理论引领全党理想信念,打通快递进村“最后一公里”（人民时评）,续写千年胞波情谊的崭新篇章,李克强主持召开国务院党组会议,习近平应约同越共中央总书记、国家主席阮富仲通电话,协同联动，推动各国共享发展成果（评论员观察）,花卉俏,“反向春运”畅通团圆之路（纵横）,东流入海悬河安澜写新篇（人民眼·行走黄河（下））,打造产业扶贫“生力军”（一线视角·聚焦全面建成小康社会④）,雄安画卷徐徐铺展,为媒体融合发展提供有力保障（人民观察）,让党的声音传得更开更广更深入（观察者说）,展开法治中国的壮阔图景,图片报道,全民医保，群众满满获得感,艺术表达澎湃爱国情怀（高峰之路）,让体育教育更好助力学生成长（大家谈）,统筹处理好“四对关系”（适势求是）,全国人大常委会党组举行会议,高质量建设“两地一区”（推进长三角一体化建设）,6600亿元（权威发布）,脱口秀，追求有温度讲艺术的思想表达（艺海观澜）,切实发挥技术支撑作用（大势所趋）,寒冬谨防血压“爆表”（名医讲堂）,“愿做沙漠中的一滴水”,“日子红火了，心里舒坦”（新春走基层·脱贫攻坚一线见闻）,主题教育中央指导组、巡回督导组工作总结会议召开,01_17
节约与风尚（金台随感·“生态笔谈”⑥）,腊月,艾溪湖湿地的美（新时代之光）,人均1万美元，了不起（权威发布）,习近平同缅甸总统温敏会谈,习近平会见缅甸国务资政昂山素季,坚持以“两个维护”引领全党团结统一,习近平抵达内比都,习近平出席中缅建交70周年系列庆祝活动暨中缅文化旅游年启动仪式,在中缅建交70周年系列庆祝活动暨中缅文化旅游年启动仪式上的致辞,着力提高政法工作现代化水平,习近平出席缅甸总统温敏举行的欢迎仪式,开放合作是顺应大势之举（钟声）,我国人均GDP突破1万美元,迎新春过大年,幸福像花儿一样（逐梦小康）,国务院任免国家工作人员,中缅互利合作释放更多惠民红利,为世界各国提供更多发展机遇,习近平出席中缅建交70周年系列庆祝活动暨中缅文化旅游年启动仪式,习近平同缅甸联邦议会议长兼人民院议长,确保春节期间猪肉市场供应稳定,李克强同在华外国专家举行新春座谈会,全国政协党组举行集体学习,支持国家级新区深化改革创新,国防部举行2020年新春招待会,户户有营生日子有奔头（新春走基层·脱贫攻坚一线见闻）,坚决落实一以贯之全面从严治党要求,习近平出席缅甸总统温敏举行的欢迎宴会,习近平同缅甸主要政党领导人集体合影留念,01_18
莫道君行早是处有亲朋,习近平同缅甸国务资政昂山素季会谈,反“四风”，绝不容许有“七年之痒”,坚持以正风肃纪反腐凝聚党心军心民心,那是一个真正的历史性时刻（国际论坛）,习近平会见缅甸国防军总司令敏昂莱,名家新作,啥都能看清我家脱了贫（新春走基层·脱贫攻坚一线见闻）,坚定信心克难前行（观沧海）,习近平同越共中央总书记、国家主席阮富仲互致贺电,民间美术山花烂漫,全面整改便利群众出行,一部辞书，闪闪发光的坐标,中央军委印发新修订的《军队基层建设纲要》,高校成为脱贫攻坚生力军（深聚焦）,青春的肖像（经典流芳）,抱起我心爱的小羊羔,努力开创新时代政法事业新局面,思政课要聚焦价值塑造（凭栏处）,携手构建中缅命运共同体（国际时评）,中华人民共和国和缅甸联邦共和国联合声明,在现场,汪洋主持召开全国政协主席会议,开启两国世代友好往来的新篇章,营造都市“童梦森林”（在一线）,联合发布二〇一九年“诚信之星”,拳拳赤子心（微言）,2019年全国共查处违反中央八项规定精神问题136307起,“我要做阿根廷的马可·波罗”（海客谈神州）,习近平结束对缅甸国事访问回到国内,01_19
以全面从严治党新成效推进国家治理现代化,“君子检身，常若有过”（人民论坛）,勉励他们把“硬骨头精神”发扬光大把连队建设得更加坚强,李荣融同志逝世,基层治理须提升群众舒适度（治理者说）,落实“四个最严”要求切实增强责任感紧迫感牢牢守住食品安全底线,2020年对台工作会议在京召开,老旧小区，好看更要宜居（一线视角）,保供气迎佳节,铁路春运之变彰显发展哲学（人民时评）,冲锋向前决胜小康,辽宁“飞地经济”强动能,在经济全球化进程中破解难题（钟声）,郭锡权同志逝世,浦寿昌同志逝世,感受跨越时空的思想魅力（大使随笔）,好演员要有两种气（名师谈艺）,巩固拓展减税降费成效（人民时评）,月度指标彰显经济积极变化,打造在国际上最具竞争力的海关监管体制机制（权威访谈）,驯马成景,推动香港“一国两制”事业行稳致远（深入学习贯彻习近平新时代中国特色社会主义思想）,画好同心圆赢得互动与共鸣（光影视界）,新中国峥嵘岁月,揭示“幸福里”的幸福秘密,文化传承乡土生动（寻找最美乡村）,你的“经济身份证”升级了（经济聚焦）,记者体验春运一线（新春走基层）,精准投资有效投资（热点辨析）,促进生态环境质量持续好转（新知新觉）,01_20
要把人民群众生命安全和身体健康,向全体人民解放军指战员武警部队官兵民兵预备役人员致以新春祝福,把外部压力转化为改革动力（人民论坛）,在年味中感受文化的魅力（评论员观察）,李克强主持召开国务院常务会议,坚定不移推动媒体融合向纵深发展（深入学习贯彻习近平新时代中国特色社会主义思想）,还原情境再现人格,顶住压力稳住了“基本盘”（权威发布）,经常扪心自问答好终身课题,全面提升林草治理体系和治理能力现代化水平（权威访谈）,以生态留人靠文化引人（一线视角·聚焦全面建成小康社会⑤）,汇聚爱国主义的硬核力量（思想纵横）,用好书助力青少年成长（书里书外）,顺应历史潮流才能乘势而上（国际论坛）,“这是人类社会发展史上的奇迹”,依法治欠，为农民工“护薪”（人民时评）,民营企业要增强信心坚定不移走高质量发展道路,筑牢粮食安全的产业基础（纵横）,当信息时代遇上“量子”（开卷知新）,发布《军队监察工作条例（试行）》,新中国峥嵘岁月,依法科学有序防控坚决遏制疫情扩散,不断探索媒体融合新路径（新知新觉）,脱贫汉子忙“扩产”（新春走基层）,菜市建在家门口,大数据看春节消费升级（大数据观察）,大力弘扬乌兰牧骑的优良传统,农村新娘拒“彩礼”（新春走基层）,灯笼高挂年味浓,栗战书主持召开部分全国人大代表座谈会,01_21
乡村，大好年景,向全国各族人民致以美好的新春祝福,在和谐中呈递文明的名片（评论员观察）,中国经济再写新篇章（经济形势理性看）,关怀道德模范弘扬榜样力量,巧换赛道天地宽（一线视角）,这一年，生活变了样（新春走基层·返乡路上看变化）,确保全面建成小康社会圆满收官（思想纵横）,新疆反恐的成功经验（新论）,以服务品质留住付费会员（人民时评）,国家政务信息化项目建设管理办法,习近平春节前夕赴云南看望慰问各族干部群众,韩正访问瑞士,中国元素助推“文化出海”,遵循客观规律持续改善民生（有的放矢）,韩正出席达沃斯世界经济论坛2020年年会并致辞,新中国峥嵘岁月,中缅共命运胞波情谊长,新一年，逐梦再出发（新春走基层·一起守护幸福年）,促进数据要素有效参与价值创造和分配（新知新觉）,把统帅激励关怀化为强军兴军强大动力,32个部门建立联防联控机制,党建成了发展“金钥匙”（国企党建典型）,消费连续六年成第一拉动力（权威发布）,百姓常用药价格降一半,鸡鸣三省大桥通车,武汉多措遏制疫情扩散,解忧到基层履职进社区,国内确认291例新型冠状病毒肺炎病例,水岸同治,01_22
中央领导同志看望老同志,坚决遏制疫情蔓延（权威发布）,持续推动全党不忘初心牢记使命（深入学习贯彻习近平新时代中国特色社会主义思想）,山水之间守望文明,在团圆中传承优良家风（评论员观察）,在新台阶迈向高质量发展（人民时评）,建立践行初心使命的长效机制（大家手笔）,阿佤人民唱新歌,习近平同法国总统马克龙通电话,和谐春运，情满回家路,壮大发展的力量（钟声）,新中国峥嵘岁月,时节如流千峰竞秀奋斗新时代,扎实做好保障和改善民生工作努力让各族群众生活更好,城乡变化见证美好生活（大家谈）,让更多人看见英雄,习近平同德国总理默克尔通电话,压实责任严格落实坚决遏制疫情扩散蔓延,习近平同意大利总统马塔雷拉分别向2020“中国意大利文化和旅游年”开幕式致贺信,王沪宁看望文化教育界知名人士和科技专家,用制度确保司法公正高效权威,谱写好中国梦的云南篇章,列车联欢迎春送福,发展积极健康的党内政治文化（新知新觉）,图片报道,中国方案，推动全球可持续发展,21日国内新增确诊病例149例,国企主要经济指标持续向好,楹联佳翰墨香,国际合作是共同的需要（国际论坛）,01_23
中共中央国务院举行春节团拜会,在二〇二〇年春节团拜会上的讲话,团结一心、艰苦奋斗，风雨无阻向前进,春节联欢晚会,众志成城防控疫情,奋斗创造历史实干成就未来,感受春节文化魅力（人民论坛）,年的不变与变（我的春节印象）,以节日文化凝聚精神力量,于营村的幸福年,传递正能量作品才长久（关于网络文学的对话③）,梦想的力量荡气回肠,刻画平凡生活中的英雄,中国春节欢乐共享,又到赏梅好时节（绿色家园）,“绿色通道”守护生命（新春走基层·今天我执勤）,新年货折射新变化（新春走基层·春节文化扫描·年货）,“中国文化越来越受到世界关注”（我的中国春节故事）,精检细修保安全,“下社区”变成“在社区”（新春走基层·今天我执勤）,二十二日新增确诊病例一百三十一例,延崇高速正式通车,守卫呼伦湖（新春走基层·今天我执勤）,携手同行再出发（大使新春寄语）,第三届冬青奥会落幕,北京冬奥组委新春送祝福致信赛会志愿者申请人,赏梅胜地越来越多,团结一心、艰苦奋斗，风雨无阻向前进,空,空,01_24
